Status,Ticket ID,Priority,Source,Topic,Agent Group,Agent Name,Created time,Expected SLA to resolve,Expected SLA to first response,First response time,SLA For first response,Resolution time,SLA For Resolution,Close time,Agent interactions,Survey results,Product group,Support Level,Country
New,40,Critical,Phone,General Inquiry,IT Support,Saif Al-Khalifa,10-08-2024 13.54,10-08-2024 14.54,10-08-2024 14.04,10-08-2024 13.57,Met,10-08-2024 14.52,Met,10-08-2024 14.57,4,Neutral,Software,L3,Oman
Resolved,41,Critical,Chat,Hardware Failure,Network Ops,Fahad Al-Farsi,18-05-2024 11.06,18-05-2024 12.06,18-05-2024 11.16,18-05-2024 11.06,Met,18-05-2024 11.48,Met,18-05-2024 11.52,2,Dissatisfied,Software,L2,Kuwait
Open,42,Critical,Chat,Software Bug,Development,Ahmed Al-Nasser,04-04-2024 22.50,04-04-2024 23.50,04-04-2024 23.00,04-04-2024 22.50,Met,04-04-2024 23.45,Met,04-04-2024 23.50,5,Dissatisfied,Software,L3,Kuwait
Closed,43,Critical,Portal,Hardware Failure,Security,Abdullah Al-Mansoori,23-06-2024 19.53,23-06-2024 20.53,23-06-2024 20.03,23-06-2024 19.57,Met,23-06-2024 20.53,Met,23-06-2024 20.56,5,Satisfied,Cloud,L2,Saudi Arabia
Open,44,Critical,Phone,General Inquiry,Customer Service,Fahad Al-Rashid,02-06-2024 17.12,02-06-2024 18.12,02-06-2024 17.22,02-06-2024 17.34,Not Met,02-06-2024 18.07,Met,02-06-2024 18.07,1,Neutral,Network,L3,UAE
In Progress,45,Low,Portal,Access Request,Customer Service,Yousef Al-Khalifa,23-05-2024 21.55,24-05-2024 1.55,23-05-2024 22.55,23-05-2024 22.54,Met,24-05-2024 1.43,Met,24-05-2024 1.44,3,Neutral,Cloud,L2,Oman
Resolved,46,Low,Portal,Software Bug,Network Ops,Yousef Al-Khalifa,20-07-2024 8.30,20-07-2024 12.30,20-07-2024 9.30,20-07-2024 9.26,Met,20-07-2024 12.10,Met,20-07-2024 12.13,3,Neutral,Cloud,L1,Kuwait
Open,47,Medium,Chat,Software Bug,Network Ops,Fahad Al-Rashid,06-06-2024 0.04,06-06-2024 3.04,06-06-2024 0.49,06-06-2024 0.41,Met,06-06-2024 2.59,Met,06-06-2024 2.59,4,Neutral,Cloud,L1,Kuwait
Open,48,Low,Phone,General Inquiry,Network Ops,Ahmed Al-Nasser,01-05-2024 7.59,01-05-2024 11.59,01-05-2024 8.59,01-05-2024 8.57,Met,01-05-2024 11.48,Met,01-05-2024 11.50,5,Satisfied,Software,L1,Oman
New,49,Medium,Portal,Hardware Failure,Network Ops,Hassan Al-Hamdan,03-04-2024 14.45,03-04-2024 17.45,03-04-2024 15.30,03-04-2024 15.25,Met,03-04-2024 17.32,Met,03-04-2024 17.34,3,Satisfied,Hardware,L1,Kuwait
New,50,Medium,Email,Hardware Failure,Security,Yousef Al-Khalifa,14-06-2024 2.42,14-06-2024 5.42,14-06-2024 3.27,14-06-2024 3.23,Met,14-06-2024 5.37,Met,14-06-2024 5.37,1,Neutral,Cloud,L2,Oman
Resolved,51,Critical,Chat,Hardware Failure,Security,Mohammed Al-Hamdan,18-06-2024 8.46,18-06-2024 9.46,18-06-2024 8.56,18-06-2024 8.52,Met,18-06-2024 9.46,Met,18-06-2024 9.48,4,Satisfied,Network,L3,Qatar
New,52,Critical,Phone,Hardware Failure,Development,Abdullah Al-Rashid,04-04-2024 3.02,04-04-2024 4.02,04-04-2024 3.12,04-04-2024 3.06,Met,04-04-2024 3.50,Met,04-04-2024 3.52,2,Satisfied,Software,L2,UAE
Resolved,53,High,Phone,Network Issue,IT Support,Abdullah Al-Rashid,06-08-2024 11.23,06-08-2024 13.23,06-08-2024 11.53,06-08-2024 11.43,Met,06-08-2024 13.12,Met,06-08-2024 13.12,5,Neutral,Hardware,L1,Saudi Arabia
In Progress,54,Critical,Portal,Access Request,Security,Ahmed Al-Salem,13-04-2024 15.01,13-04-2024 16.01,13-04-2024 15.11,13-04-2024 15.07,Met,13-04-2024 15.55,Met,13-04-2024 15.57,1,Satisfied,Cloud,L2,Kuwait
Open,55,Low,Chat,General Inquiry,Security,Ahmed Al-Salem,20-05-2024 12.32,20-05-2024 16.32,20-05-2024 13.32,20-05-2024 13.28,Met,20-05-2024 16.14,Met,20-05-2024 16.15,1,Satisfied,Cloud,L2,Bahrain
New,56,Medium,Email,Software Bug,Security,Ahmed Al-Salem,14-04-2024 14.39,14-04-2024 17.39,14-04-2024 15.24,14-04-2024 15.44,Not Met,14-04-2024 17.34,Met,14-04-2024 17.38,1,Satisfied,Network,L2,Kuwait
Open,57,Medium,Phone,Hardware Failure,Security,Saif Al-Khalifa,10-05-2024 1.19,10-05-2024 4.19,10-05-2024 2.04,10-05-2024 2.13,Not Met,10-05-2024 4.11,Met,10-05-2024 4.15,2,Dissatisfied,Cloud,L2,UAE
Open,58,Medium,Phone,Access Request,Network Ops,Fahad Al-Farsi,06-08-2024 15.51,06-08-2024 18.51,06-08-2024 16.36,06-08-2024 16.31,Met,06-08-2024 18.49,Met,06-08-2024 18.54,2,Dissatisfied,Network,L2,Qatar
Open,59,High,Phone,General Inquiry,Network Ops,Mohammed Al-Hamdan,17-05-2024 17.45,17-05-2024 19.45,17-05-2024 18.15,17-05-2024 18.10,Met,17-05-2024 19.35,Met,17-05-2024 19.38,5,Satisfied,Hardware,L1,Kuwait
New,60,Low,Email,General Inquiry,Network Ops,Abdullah Al-Farsi,24-05-2024 22.11,25-05-2024 2.11,24-05-2024 23.11,24-05-2024 23.05,Met,25-05-2024 2.07,Met,25-05-2024 2.07,5,Satisfied,Software,L3,Bahrain
Resolved,61,High,Chat,Hardware Failure,Security,Abdullah Al-Rashid,01-05-2024 7.40,01-05-2024 9.40,01-05-2024 8.10,01-05-2024 8.10,Met,01-05-2024 9.53,Not Met,01-05-2024 9.34,2,Dissatisfied,Hardware,L3,Qatar
Open,62,Critical,Email,Access Request,Security,Omar Al-Salem,28-05-2024 7.17,28-05-2024 8.17,28-05-2024 7.27,28-05-2024 7.20,Met,28-05-2024 8.07,Met,28-05-2024 8.09,1,Satisfied,Hardware,L2,Qatar
New,63,Low,Email,Network Issue,Customer Service,Mohammed Al-Hamdan,12-07-2024 0.51,12-07-2024 4.51,12-07-2024 1.51,12-07-2024 1.41,Met,12-07-2024 4.34,Met,12-07-2024 4.37,1,Dissatisfied,Network,L2,Saudi Arabia
Open,64,Critical,Phone,General Inquiry,Network Ops,Khalid Al-Farsi,18-04-2024 8.00,18-04-2024 9.00,18-04-2024 8.10,18-04-2024 8.23,Not Met,18-04-2024 8.49,Met,18-04-2024 8.53,5,Dissatisfied,Cloud,L1,Saudi Arabia
New,65,Critical,Portal,General Inquiry,Security,Abdullah Al-Rashid,25-05-2024 14.22,25-05-2024 15.22,25-05-2024 14.32,25-05-2024 14.28,Met,25-05-2024 15.19,Met,25-05-2024 15.23,4,Dissatisfied,Network,L1,Saudi Arabia
In Progress,66,High,Chat,Software Bug,Security,Mohammed Al-Hamdan,16-07-2024 17.06,16-07-2024 19.06,16-07-2024 17.36,16-07-2024 17.28,Met,16-07-2024 18.52,Met,16-07-2024 18.53,4,Satisfied,Software,L2,Oman
Resolved,67,Medium,Phone,Software Bug,Security,Abdullah Al-Mansoori,18-07-2024 18.43,18-07-2024 21.43,18-07-2024 19.28,18-07-2024 19.23,Met,18-07-2024 21.23,Met,18-07-2024 21.26,4,Satisfied,Software,L2,Oman
Closed,68,Medium,Phone,Network Issue,Security,Khalid Al-Farsi,21-05-2024 9.26,21-05-2024 12.26,21-05-2024 10.11,21-05-2024 10.11,Met,21-05-2024 12.08,Met,21-05-2024 12.13,2,Neutral,Software,L3,Qatar
New,69,Critical,Phone,Access Request,Security,Omar Al-Mansoori,27-04-2024 21.44,27-04-2024 22.44,27-04-2024 21.54,27-04-2024 21.53,Met,27-04-2024 22.30,Met,27-04-2024 22.31,3,Dissatisfied,Cloud,L3,UAE
Closed,70,Critical,Phone,Access Request,IT Support,Fahad Al-Rashid,20-05-2024 1.20,20-05-2024 2.20,20-05-2024 1.30,20-05-2024 1.22,Met,20-05-2024 2.07,Met,20-05-2024 2.10,3,Satisfied,Network,L2,Qatar
Closed,71,Low,Chat,Hardware Failure,IT Support,Saif Al-Khalifa,29-06-2024 13.50,29-06-2024 17.50,29-06-2024 14.50,29-06-2024 14.43,Met,29-06-2024 17.33,Met,29-06-2024 17.38,1,Neutral,Network,L2,Oman
Open,72,Critical,Phone,Software Bug,Customer Service,Abdullah Al-Rashid,01-05-2024 3.53,01-05-2024 4.53,01-05-2024 4.03,01-05-2024 3.57,Met,01-05-2024 4.39,Met,01-05-2024 4.44,5,Neutral,Software,L2,UAE
New,73,Low,Email,Hardware Failure,Network Ops,Abdullah Al-Rashid,18-05-2024 15.35,18-05-2024 19.35,18-05-2024 16.35,18-05-2024 16.33,Met,18-05-2024 19.31,Met,18-05-2024 19.31,3,Satisfied,Hardware,L1,Oman
New,74,Critical,Email,Software Bug,Development,Saif Al-Rashid,22-07-2024 7.55,22-07-2024 8.55,22-07-2024 8.05,22-07-2024 8.02,Met,22-07-2024 8.42,Met,22-07-2024 8.44,4,Satisfied,Network,L3,Oman
Open,75,Critical,Email,Access Request,Development,Hassan Al-Rashid,30-05-2024 8.57,30-05-2024 9.57,30-05-2024 9.07,30-05-2024 9.05,Met,30-05-2024 9.54,Met,30-05-2024 9.58,4,Neutral,Hardware,L2,Bahrain
New,76,Medium,Portal,Network Issue,Customer Service,Abdullah Al-Mansoori,09-07-2024 12.03,09-07-2024 15.03,09-07-2024 12.48,09-07-2024 12.55,Not Met,09-07-2024 14.54,Met,09-07-2024 14.55,1,Neutral,Cloud,L3,Qatar
Resolved,77,Low,Phone,Hardware Failure,Network Ops,Abdullah Al-Farsi,07-08-2024 9.25,07-08-2024 13.25,07-08-2024 10.25,07-08-2024 10.25,Met,07-08-2024 13.10,Met,07-08-2024 13.10,2,Neutral,Cloud,L3,Bahrain
Open,78,Low,Email,Software Bug,Network Ops,Ahmed Al-Nasser,23-05-2024 11.18,23-05-2024 15.18,23-05-2024 12.18,23-05-2024 12.13,Met,23-05-2024 15.18,Met,23-05-2024 15.18,1,Satisfied,Software,L2,Kuwait
New,79,Low,Portal,Network Issue,Network Ops,Yousef Al-Sabah,28-07-2024 17.01,28-07-2024 21.01,28-07-2024 18.01,28-07-2024 17.57,Met,28-07-2024 20.41,Met,28-07-2024 20.44,1,Satisfied,Hardware,L1,Bahrain
New,80,High,Phone,Software Bug,IT Support,Abdullah Al-Farsi,22-04-2024 15.15,22-04-2024 17.15,22-04-2024 15.45,22-04-2024 15.41,Met,22-04-2024 16.59,Met,22-04-2024 17.01,4,Satisfied,Cloud,L1,Saudi Arabia
In Progress,81,Low,Chat,Software Bug,Security,Khalid Al-Farsi,19-06-2024 17.47,19-06-2024 21.47,19-06-2024 18.47,19-06-2024 18.44,Met,19-06-2024 21.31,Met,19-06-2024 21.34,5,Neutral,Software,L1,Kuwait
Resolved,82,Medium,Phone,Network Issue,Security,Khalid Al-Rashid,18-04-2024 3.01,18-04-2024 6.01,18-04-2024 3.46,18-04-2024 3.42,Met,18-04-2024 5.59,Met,18-04-2024 6.03,4,Neutral,Network,L2,Saudi Arabia
New,83,Low,Chat,Access Request,IT Support,Ali Al-Khalifa,24-06-2024 11.45,24-06-2024 15.45,24-06-2024 12.45,24-06-2024 12.44,Met,24-06-2024 15.35,Met,24-06-2024 15.35,5,Neutral,Network,L3,Saudi Arabia
In Progress,84,High,Phone,Hardware Failure,Network Ops,Fahad Al-Farsi,09-08-2024 21.45,09-08-2024 23.45,09-08-2024 22.15,09-08-2024 22.26,Not Met,09-08-2024 23.42,Met,09-08-2024 23.45,4,Dissatisfied,Cloud,L1,Saudi Arabia
Open,85,High,Phone,Hardware Failure,Security,Fahad Al-Farsi,07-05-2024 9.54,07-05-2024 11.54,07-05-2024 10.24,07-05-2024 10.14,Met,07-05-2024 11.54,Met,07-05-2024 11.58,4,Dissatisfied,Cloud,L3,Saudi Arabia
Closed,86,Critical,Email,Access Request,Customer Service,Ali Al-Khalifa,11-04-2024 12.44,11-04-2024 13.44,11-04-2024 12.54,11-04-2024 12.48,Met,11-04-2024 13.38,Met,11-04-2024 13.41,4,Satisfied,Cloud,L2,Saudi Arabia
Resolved,87,Critical,Chat,Network Issue,Security,Abdullah Al-Rashid,30-05-2024 0.08,30-05-2024 1.08,30-05-2024 0.18,30-05-2024 0.17,Met,30-05-2024 0.52,Met,30-05-2024 0.56,3,Neutral,Cloud,L1,Bahrain
New,88,Low,Portal,Access Request,Network Ops,Hassan Al-Hamdan,24-06-2024 5.11,24-06-2024 9.11,24-06-2024 6.11,24-06-2024 6.08,Met,24-06-2024 9.11,Met,24-06-2024 9.16,4,Satisfied,Cloud,L2,Oman
New,89,High,Email,Hardware Failure,Development,Yousef Al-Khalifa,31-07-2024 13.03,31-07-2024 15.03,31-07-2024 13.33,31-07-2024 13.23,Met,31-07-2024 14.56,Met,31-07-2024 14.56,5,Dissatisfied,Cloud,L3,Kuwait
Open,90,Low,Chat,Access Request,Development,Yousef Al-Khalifa,24-06-2024 19.13,24-06-2024 23.13,24-06-2024 20.13,24-06-2024 20.13,Met,24-06-2024 23.53,Not Met,24-06-2024 22.56,1,Dissatisfied,Cloud,L3,UAE
Closed,91,Low,Chat,Hardware Failure,Security,Khalid Al-Farsi,21-06-2024 0.48,21-06-2024 4.48,21-06-2024 1.48,21-06-2024 1.45,Met,21-06-2024 4.41,Met,21-06-2024 4.46,4,Dissatisfied,Hardware,L2,Oman
Closed,92,Low,Phone,Network Issue,Network Ops,Hassan Al-Rashid,12-07-2024 9.07,12-07-2024 13.07,12-07-2024 10.07,12-07-2024 10.00,Met,12-07-2024 12.47,Met,12-07-2024 12.48,5,Satisfied,Hardware,L3,Saudi Arabia
Closed,93,Critical,Portal,Hardware Failure,IT Support,Yousef Al-Khalifa,20-05-2024 13.55,20-05-2024 14.55,20-05-2024 14.05,20-05-2024 13.55,Met,20-05-2024 14.35,Met,20-05-2024 14.35,3,Dissatisfied,Cloud,L1,UAE
Closed,94,High,Email,Hardware Failure,IT Support,Saif Al-Rashid,09-04-2024 1.42,09-04-2024 3.42,09-04-2024 2.12,09-04-2024 2.11,Met,09-04-2024 3.26,Met,09-04-2024 3.26,4,Satisfied,Software,L1,Saudi Arabia
In Progress,95,Low,Phone,Hardware Failure,Customer Service,Abdullah Al-Rashid,07-08-2024 7.06,07-08-2024 11.06,07-08-2024 8.06,07-08-2024 7.59,Met,07-08-2024 10.56,Met,07-08-2024 10.58,4,Dissatisfied,Hardware,L2,Bahrain
Resolved,96,High,Phone,Hardware Failure,Development,Saif Al-Khalifa,27-04-2024 6.52,27-04-2024 8.52,27-04-2024 7.22,27-04-2024 7.12,Met,27-04-2024 8.41,Met,27-04-2024 8.46,3,Dissatisfied,Hardware,L2,Saudi Arabia
In Progress,97,High,Chat,Hardware Failure,Network Ops,Mohammed Al-Hamdan,27-06-2024 4.19,27-06-2024 6.19,27-06-2024 4.49,27-06-2024 4.41,Met,27-06-2024 6.10,Met,27-06-2024 6.13,2,Satisfied,Network,L3,Bahrain
Resolved,98,Medium,Portal,Access Request,Security,Ali Al-Khalifa,11-08-2024 1.58,11-08-2024 4.58,11-08-2024 2.43,11-08-2024 2.54,Not Met,11-08-2024 4.58,Met,11-08-2024 4.58,3,Satisfied,Software,L3,UAE
Open,99,Low,Email,Software Bug,Security,Hassan Al-Hamdan,09-07-2024 13.43,09-07-2024 17.43,09-07-2024 14.43,09-07-2024 14.40,Met,09-07-2024 17.33,Met,09-07-2024 17.33,3,Dissatisfied,Software,L3,Qatar
In Progress,100,Critical,Email,General Inquiry,Network Ops,Ali Al-Khalifa,14-06-2024 9.42,14-06-2024 10.42,14-06-2024 9.52,14-06-2024 9.49,Met,14-06-2024 10.27,Met,14-06-2024 10.31,1,Neutral,Software,L1,Bahrain
Open,101,High,Phone,Access Request,Security,Khalid Al-Rashid,18-04-2024 6.13,18-04-2024 8.13,18-04-2024 6.43,18-04-2024 6.35,Met,18-04-2024 8.06,Met,18-04-2024 8.09,3,Neutral,Cloud,L2,Qatar
In Progress,102,Medium,Chat,Access Request,Development,Khalid Al-Rashid,09-05-2024 12.28,09-05-2024 15.28,09-05-2024 13.13,09-05-2024 13.07,Met,09-05-2024 15.27,Met,09-05-2024 15.27,2,Satisfied,Software,L3,Bahrain
In Progress,103,Critical,Chat,General Inquiry,Customer Service,Ahmed Al-Nasser,16-04-2024 8.14,16-04-2024 9.14,16-04-2024 8.24,16-04-2024 8.17,Met,16-04-2024 9.02,Met,16-04-2024 9.03,5,Neutral,Cloud,L1,UAE
Resolved,104,Low,Phone,Network Issue,Security,Khalid Al-Rashid,11-04-2024 2.20,11-04-2024 6.20,11-04-2024 3.20,11-04-2024 3.17,Met,11-04-2024 6.11,Met,11-04-2024 6.14,1,Satisfied,Network,L3,UAE
Resolved,105,Medium,Phone,Access Request,IT Support,Yousef Al-Khalifa,02-08-2024 9.58,02-08-2024 12.58,02-08-2024 10.43,02-08-2024 10.41,Met,02-08-2024 12.42,Met,02-08-2024 12.44,2,Neutral,Software,L3,Qatar
In Progress,106,Low,Phone,General Inquiry,IT Support,Abdullah Al-Rashid,08-06-2024 20.04,09-06-2024 0.04,08-06-2024 21.04,08-06-2024 21.00,Met,08-06-2024 23.53,Met,08-06-2024 23.54,1,Satisfied,Network,L1,Kuwait
